sentence,alpha,tokens,D_t_values,avg_D_t,std_D_t,distance_discrimination
医生仔细检查病人病情,0.2,"['医生', '仔细', '检查', '病人', '病情']","[0.0, 0.7604498973831523, 0.7816760483300527, 0.750545818334573, 0.767799198422602]",0.612094192494076,0.30621548721642505,0.7816760483300527
医生仔细检查病人病情,0.3,"['医生', '仔细', '检查', '病人', '病情']","[0.0, 0.7143647531990708, 0.7355113420918991, 0.7049691565153625, 0.7254980023269559]",0.5760686508266577,0.28821774603627487,0.7355113420918991
医生仔细检查病人病情,0.4,"['医生', '仔细', '检查', '病人', '病情']","[0.0, 0.6682796090149893, 0.6893466358537453, 0.6593924946961521, 0.6831968062313098]",0.5400431091592394,0.2702295170933367,0.6893466358537453
医生仔细检查病人病情,0.5,"['医生', '仔细', '检查', '病人', '病情']","[0.0, 0.6221944648309078, 0.6431819296155916, 0.6138158328769415, 0.6408956101356639]",0.5040175674918209,0.2522528353576913,0.6431819296155916
老师耐心讲解数学题,0.0,"['老师', '耐心', '讲解', '数学', '题']","[0.0, 0.9677801076688753, 0.9441394188513237, 0.8939786395447036, 0.9551638170641972]",0.75221239662582,0.376939214259154,0.9441394188513237
老师耐心讲解数学题,0.2,"['老师', '耐心', '讲解', '数学', '题']","[0.0, 0.8600708270298463, 0.8460161420174082, 0.8004836714851998, 0.8511290934044355]",0.6715399467873779,0.3364016888660736,0.8460161420174082
老师耐心讲解数学题,0.3,"['老师', '耐心', '讲解', '数学', '题']","[0.0, 0.8062161867103319, 0.7969545036004505, 0.7537361874554479, 0.7991117315745546]",0.631203721868157,0.3161417808014872,0.7969545036004505
老师耐心讲解数学题,0.4,"['老师', '耐心', '讲解', '数学', '题']","[0.0, 0.7523615463908173, 0.7478928651834928, 0.7069887034256962, 0.7470943697446738]",0.590867496948936,0.2958893927136253,0.7478928651834928
老师耐心讲解数学题,0.5,"['老师', '耐心', '讲解', '数学', '题']","[0.0, 0.6985069060713028, 0.6988312267665351, 0.6602412193959443, 0.6950770079147931]",0.5505312720297151,0.2756461821398107,0.6988312267665351
工人努力建造新房子,0.0,"['工人', '努', '�', '�建', '造', '新', '房子']","[0.0, 1.0033638224953016, 0.9623875826374361, 1.006393246356118, 1.0182011526056975, 0.8730574596005795, 0.9375560475448136]",0.828708473034278,0.34151475811790644,0.0
工人努力建造新房子,0.2,"['工人', '努', '�', '�建', '造', '新', '房子']","[0.0, 0.8970708705771459, 0.8723931799648772, 0.926028317504298, 0.9089815659289117, 0.793881973927306, 0.8130309783771685]",0.744483840897101,0.3073054725315879,0.0
工人努力建造新房子,0.3,"['工人', '努', '�', '�建', '造', '新', '房子']","[0.0, 0.843924394618068, 0.8273959786285978, 0.885845853078388, 0.8543717725905187, 0.7542942310906692, 0.750768443793346]",0.7023715248285125,0.29051658952408194,0.0
工人努力建造新房子,0.4,"['工人', '努', '�', '�建', '造', '新', '房子']","[0.0, 0.7907779186589902, 0.7823987772923183, 0.845663388652478, 0.7997619792521258, 0.7147064882540325, 0.6885059092095234]",0.660259208759924,0.27398997526356594,0.0
工人努力建造新房子,0.5,"['工人', '努', '�', '�建', '造', '新', '房子']","[0.0, 0.7376314426999123, 0.737401575956039, 0.805480924226568, 0.7451521859137329, 0.6751187454173957, 0.6262433746257009]",0.6181468926913355,0.2577760786351968,0.0
农民辛苦种植水稻田,0.0,"['农民', '辛苦', '种植', '水稻', '田']","[0.0, 0.9524245011644366, 0.9136726492870236, 0.8402385677179834, 0.7868038149763725]",0.6986279066291632,0.3539961793043542,0.9136726492870236
农民辛苦种植水稻田,0.2,"['农民', '辛苦', '种植', '水稻', '田']","[0.0, 0.8398488775513012, 0.7924299333374043, 0.7240614697230345, 0.6827110865018654]",0.6078102734227211,0.30870184111933224,0.7924299333374043
农民辛苦种植水稻田,0.3,"['农民', '辛苦', '种植', '水稻', '田']","[0.0, 0.7835610657447337, 0.7318085753625946, 0.6659729207255601, 0.6306647222646118]",0.5624014568195002,0.2861093024040311,0.7318085753625946
农民辛苦种植水稻田,0.4,"['农民', '辛苦', '种植', '水稻', '田']","[0.0, 0.7272732539381661, 0.671187217387785, 0.6078843717280856, 0.5786183580273582]",0.516992640216279,0.26356567687280413,0.671187217387785
农民辛苦种植水稻田,0.5,"['农民', '辛苦', '种植', '水稻', '田']","[0.0, 0.6709854421315985, 0.6105658594129753, 0.5497958227306113, 0.5265719937901047]",0.4715838236130579,0.2410846864078259,0.6105658594129753
司机安全驾驶汽车跑,0.0,"['司机', '安全', '驾驶', '汽车', '跑']","[0.0, 0.7905086623188743, 0.9079593976770859, 0.784349494977709, 0.0]",0.4965635109947339,0.4078288221903925,0.9079593976770859
司机安全驾驶汽车跑,0.2,"['司机', '安全', '驾驶', '汽车', '跑']","[0.0, 0.7072461240358844, 0.8149623827375285, 0.6927381014439086, 0.0]",0.44298932164346433,0.3641563254928957,0.8149623827375285
司机安全驾驶汽车跑,0.3,"['司机', '安全', '驾驶', '汽车', '跑']","[0.0, 0.6656148548943894, 0.7684638752677497, 0.6469324046770084, 0.0]",0.4162022269678295,0.34233899287223474,0.7684638752677497
司机安全驾驶汽车跑,0.4,"['司机', '安全', '驾驶', '汽车', '跑']","[0.0, 0.6239835857528945, 0.721965367797971, 0.6011267079101081, 0.0]",0.3894151322921947,0.32053770457180425,0.721965367797971
司机安全驾驶汽车跑,0.5,"['司机', '安全', '驾驶', '汽车', '跑']","[0.0, 0.5823523166113995, 0.6754668603281924, 0.555321011143208, 0.0]",0.36262803761655993,0.2987559730459688,0.6754668603281924
厨师精心烹饪美味菜,0.0,"['厨师', '精心', '烹饪', '美味', '菜']","[0.0, 0.8093862075087864, 0.8680353606312243, 0.8385237270049904, 0.7901778137847596]",0.6612246217859521,0.33166381656121624,0.8680353606312243
厨师精心烹饪美味菜,0.2,"['厨师', '精心', '烹饪', '美味', '菜']","[0.0, 0.7197821361430772, 0.7631190515190265, 0.7401446015531116, 0.690619202101386]",0.5827329982633203,0.2923413031018933,0.7631190515190265
厨师精心烹饪美味菜,0.3,"['厨师', '精心', '烹饪', '美味', '菜']","[0.0, 0.6749801004602226, 0.7106608969629276, 0.6909550388271721, 0.6408398962596993]",0.5434871865020042,0.27270499641514595,0.7106608969629276
厨师精心烹饪美味菜,0.4,"['厨师', '精心', '烹饪', '美味', '菜']","[0.0, 0.630178064777368, 0.6582027424068287, 0.6417654761012327, 0.5910605904180125]",0.5042413747406884,0.2530904863076657,0.6582027424068287
厨师精心烹饪美味菜,0.5,"['厨师', '精心', '烹饪', '美味', '菜']","[0.0, 0.5853760290945134, 0.6057445878507298, 0.5925759133752931, 0.5412812845763257]",0.4649955629793724,0.23350326564806492,0.6057445878507298
画家细致绘制风景画,0.0,"['画家', '细致', '绘制', '风景', '画']","[0.0, 0.927868277651185, 0.9493320274410292, 0.9558130239803904, 0.9881449192924541]",0.7642316496730117,0.38260415196937836,0.9493320274410292
画家细致绘制风景画,0.2,"['画家', '细致', '绘制', '风景', '画']","[0.0, 0.8298326846130493, 0.8509077510992146, 0.8426464824045553, 0.8766408679386388]",0.6800055572110916,0.3403471174527465,0.8509077510992146
画家细致绘制风景画,0.3,"['画家', '细致', '绘制', '风景', '画']","[0.0, 0.7808148880939814, 0.8016956129283073, 0.7860632116166378, 0.8208888422617312]",0.6378925109801316,0.3192514154837511,0.8016956129283073
画家细致绘制风景画,0.4,"['画家', '细致', '绘制', '风景', '画']","[0.0, 0.7317970915749136, 0.7524834747574, 0.7294799408287203, 0.7651368165848236]",0.5957794647491715,0.29818378295992487,0.7524834747574
画家细致绘制风景画,0.5,"['画家', '细致', '绘制', '风景', '画']","[0.0, 0.6827792950558457, 0.7032713365864927, 0.6728966700408027, 0.709384790907916]",0.5536664185182114,0.27715062106034033,0.7032713365864927
